seed,condition,epoch,phase,burst,task_count,closed,closure_rate_bps,operational_debt_auc,validation_failures,parse_failures,retries,unresolved_obligations,attempts,char_budget,active_mutation_ids,active_mutation_epoch_count,hard_floor_regression_count
20260509,oasg_adaptive,8,longrun_eval,rollback_receipt_gap,8,3,3750,14,5,4,0,5,8,1640,"['mut_receipt_template_only_replay_rollback_receipt', 'mut_receipt_template_only_validator_receipt', 'mut_schema_keys_only_json_schema_repair', 'mut_schema_keys_only_obligation_closure']",1,0
20260509,oasg_adaptive,9,longrun_eval,recovery,8,5,6250,8,3,2,0,3,8,1907,"['mut_receipt_template_only_replay_rollback_receipt', 'mut_receipt_template_only_validator_receipt', 'mut_schema_keys_only_json_schema_repair', 'mut_schema_keys_only_obligation_closure']",1,0
20260509,oasg_adaptive,10,longrun_eval,validator_failure_burst,8,4,5000,11,4,3,0,4,8,1802,"['mut_receipt_template_only_replay_rollback_receipt', 'mut_receipt_template_only_validator_receipt', 'mut_schema_keys_only_json_schema_repair', 'mut_schema_keys_only_obligation_closure']",1,0
20260509,oasg_adaptive,11,longrun_eval,context_budget_pressure,8,4,5000,11,4,3,0,4,8,1733,"['mut_receipt_template_only_replay_rollback_receipt', 'mut_receipt_template_only_validator_receipt', 'mut_schema_keys_only_json_schema_repair', 'mut_schema_keys_only_obligation_closure']",1,0
20260509,oasg_adaptive,12,longrun_eval,obligation_backlog_burst,8,5,6250,8,3,2,0,3,8,1845,"['mut_receipt_template_only_replay_rollback_receipt', 'mut_receipt_template_only_validator_receipt', 'mut_schema_keys_only_json_schema_repair', 'mut_schema_keys_only_obligation_closure']",1,0
20260509,oasg_adaptive,13,longrun_eval,stale_format_drift,8,3,3750,14,5,4,0,5,8,1619,"['mut_receipt_template_only_replay_rollback_receipt', 'mut_receipt_template_only_validator_receipt', 'mut_schema_keys_only_json_schema_repair', 'mut_schema_keys_only_obligation_closure']",1,0
20260509,oasg_adaptive,14,longrun_eval,rollback_receipt_gap,8,3,3750,14,5,4,0,5,8,1622,"['mut_receipt_template_only_replay_rollback_receipt', 'mut_receipt_template_only_validator_receipt', 'mut_schema_keys_only_json_schema_repair', 'mut_schema_keys_only_obligation_closure']",1,0
20260509,oasg_adaptive,15,longrun_eval,recovery,8,4,5000,10,4,2,0,4,8,2327,"['mut_receipt_template_only_replay_rollback_receipt', 'mut_receipt_template_only_validator_receipt', 'mut_schema_keys_only_json_schema_repair', 'mut_schema_keys_only_obligation_closure']",1,0
20260509,oasg_adaptive,16,longrun_eval,validator_failure_burst,8,5,6250,8,3,2,0,3,8,1909,"['mut_receipt_template_only_replay_rollback_receipt', 'mut_receipt_template_only_validator_receipt', 'mut_schema_keys_only_json_schema_repair', 'mut_schema_keys_only_obligation_closure']",1,0
20260509,oasg_adaptive,17,longrun_eval,context_budget_pressure,8,4,5000,11,4,3,0,4,8,1748,"['mut_receipt_template_only_replay_rollback_receipt', 'mut_receipt_template_only_validator_receipt', 'mut_schema_keys_only_json_schema_repair', 'mut_schema_keys_only_obligation_closure']",1,0
20260509,oasg_adaptive,18,longrun_eval,obligation_backlog_burst,8,3,3750,13,5,3,0,5,8,2151,"['mut_receipt_template_only_replay_rollback_receipt', 'mut_receipt_template_only_validator_receipt', 'mut_schema_keys_only_json_schema_repair', 'mut_schema_keys_only_obligation_closure']",1,0
20260509,oasg_adaptive,19,longrun_eval,stale_format_drift,8,4,5000,11,4,3,0,4,8,1779,"['mut_receipt_template_only_replay_rollback_receipt', 'mut_receipt_template_only_validator_receipt', 'mut_schema_keys_only_json_schema_repair', 'mut_schema_keys_only_obligation_closure']",1,0
20260509,oasg_adaptive,20,longrun_eval,rollback_receipt_gap,8,4,5000,11,4,3,0,4,8,1741,"['mut_receipt_template_only_replay_rollback_receipt', 'mut_receipt_template_only_validator_receipt', 'mut_schema_keys_only_json_schema_repair', 'mut_schema_keys_only_obligation_closure']",1,0
20260509,oasg_observe_only,4,longrun_eval,validator_failure_burst,8,0,0,24,8,8,0,8,8,1753,[],0,0
20260509,oasg_observe_only,5,longrun_eval,context_budget_pressure,8,0,0,24,8,8,0,8,8,1847,[],0,0
20260509,oasg_observe_only,6,longrun_eval,obligation_backlog_burst,8,0,0,24,8,8,0,8,8,2758,[],0,0
20260509,oasg_observe_only,7,longrun_eval,stale_format_drift,8,0,0,24,8,8,0,8,8,1851,[],0,0
20260509,oasg_observe_only,8,longrun_eval,rollback_receipt_gap,8,0,0,24,8,8,0,8,8,1778,[],0,0
20260509,oasg_observe_only,9,longrun_eval,recovery,8,0,0,24,8,8,0,8,8,1862,[],0,0
20260509,oasg_observe_only,10,longrun_eval,validator_failure_burst,8,0,0,24,8,8,0,8,8,1859,[],0,0
20260509,oasg_observe_only,11,longrun_eval,context_budget_pressure,8,0,0,24,8,8,0,8,8,1771,[],0,0
20260509,oasg_observe_only,12,longrun_eval,obligation_backlog_burst,8,0,0,24,8,8,0,8,8,1772,[],0,0
20260509,oasg_observe_only,13,longrun_eval,stale_format_drift,8,0,0,24,8,8,0,8,8,1758,[],0,0
20260509,oasg_observe_only,14,longrun_eval,rollback_receipt_gap,8,0,0,24,8,8,0,8,8,1764,[],0,0
20260509,oasg_observe_only,15,longrun_eval,recovery,8,0,0,24,8,8,0,8,8,2814,[],0,0
20260509,oasg_observe_only,16,longrun_eval,validator_failure_burst,8,0,0,24,8,8,0,8,8,1858,[],0,0
20260509,oasg_observe_only,17,longrun_eval,context_budget_pressure,8,0,0,24,8,8,0,8,8,1782,[],0,0
20260509,oasg_observe_only,18,longrun_eval,obligation_backlog_burst,8,0,0,24,8,8,0,8,8,2727,[],0,0
20260509,oasg_observe_only,19,longrun_eval,stale_format_drift,8,0,0,24,8,8,0,8,8,1809,[],0,0
20260509,oasg_observe_only,20,longrun_eval,rollback_receipt_gap,8,0,0,24,8,8,0,8,8,1762,[],0,0
20260510,baseline_fixed,4,longrun_eval,validator_failure_burst,8,0,0,24,8,8,0,8,8,1755,[],0,0
20260510,baseline_fixed,5,longrun_eval,context_budget_pressure,8,0,0,24,8,8,0,8,8,1790,[],0,0
20260510,baseline_fixed,6,longrun_eval,obligation_backlog_burst,8,0,0,24,8,8,0,8,8,1796,[],0,0
20260510,baseline_fixed,7,longrun_eval,stale_format_drift,8,0,0,24,8,8,0,8,8,2806,[],0,0
20260510,baseline_fixed,8,longrun_eval,rollback_receipt_gap,8,0,0,24,8,8,0,8,8,1766,[],0,0
20260510,baseline_fixed,9,longrun_eval,recovery,8,0,0,24,8,8,0,8,8,1764,[],0,0
20260510,baseline_fixed,10,longrun_eval,validator_failure_burst,8,0,0,24,8,8,0,8,8,1872,[],0,0
20260510,baseline_fixed,11,longrun_eval,context_budget_pressure,8,0,0,24,8,8,0,8,8,1778,[],0,0
20260510,baseline_fixed,12,longrun_eval,obligation_backlog_burst,8,0,0,24,8,8,0,8,8,1772,[],0,0
20260510,baseline_fixed,13,longrun_eval,stale_format_drift,8,0,0,24,8,8,0,8,8,1810,[],0,0
20260510,baseline_fixed,14,longrun_eval,rollback_receipt_gap,8,0,0,24,8,8,0,8,8,2727,[],0,0
