seed,condition,epoch,phase,burst,task_count,closed,closure_rate_bps,operational_debt_auc,validation_failures,parse_failures,retries,unresolved_obligations,attempts,char_budget,active_mutation_ids,active_mutation_epoch_count,hard_floor_regression_count,rollback_failures
20260509,strong_rule_adaptive_control,20,longrun_eval,safe_expression_burst,8,6,7500,4,2,0,0,2,8,1615,[],0,0,0
20260509,strong_static_calibrated,4,longrun_eval,schema_drift,8,5,6250,6,3,0,0,3,8,1526,[],0,0,0
20260509,strong_static_calibrated,5,longrun_eval,validator_burst,8,5,6250,6,3,0,0,3,8,1572,[],0,0,0
20260509,strong_static_calibrated,6,longrun_eval,context_budget_burst,8,5,6250,6,3,0,0,3,8,1850,[],0,0,0
20260509,strong_static_calibrated,7,longrun_eval,receipt_family_burst,8,6,7500,4,2,0,0,2,8,1657,[],0,0,0
20260509,strong_static_calibrated,8,longrun_eval,safe_expression_burst,8,6,7500,4,2,0,0,2,8,1702,[],0,0,0
20260509,strong_static_calibrated,9,longrun_eval,recovery,8,6,7500,4,2,0,0,2,8,1572,[],0,0,0
20260509,strong_static_calibrated,10,longrun_eval,schema_drift,8,5,6250,6,3,0,0,3,8,1575,[],0,0,0
20260509,strong_static_calibrated,11,longrun_eval,validator_burst,8,6,7500,4,2,0,0,2,8,1619,[],0,0,0
20260509,strong_static_calibrated,12,longrun_eval,context_budget_burst,8,6,7500,4,2,0,0,2,8,1539,[],0,0,0
20260509,strong_static_calibrated,13,longrun_eval,receipt_family_burst,8,6,7500,4,2,0,0,2,8,1695,[],0,0,0
20260509,strong_static_calibrated,14,longrun_eval,safe_expression_burst,8,5,6250,6,3,0,0,3,8,1611,[],0,0,0
20260509,strong_static_calibrated,15,longrun_eval,recovery,8,5,6250,6,3,0,0,3,8,1803,[],0,0,0
20260509,strong_static_calibrated,16,longrun_eval,schema_drift,8,6,7500,4,2,0,0,2,8,1578,[],0,0,0
20260509,strong_static_calibrated,17,longrun_eval,validator_burst,8,6,7500,4,2,0,0,2,8,1629,[],0,0,0
20260509,strong_static_calibrated,18,longrun_eval,context_budget_burst,8,5,6250,6,3,0,0,3,8,1835,[],0,0,0
20260509,strong_static_calibrated,19,longrun_eval,receipt_family_burst,8,6,7500,4,2,0,0,2,8,1711,[],0,0,0
20260509,strong_static_calibrated,20,longrun_eval,safe_expression_burst,8,6,7500,4,2,0,0,2,8,1615,[],0,0,0
20260509,weak_fixed,4,longrun_eval,schema_drift,8,0,0,24,8,8,0,8,8,1753,[],0,0,0
20260509,weak_fixed,5,longrun_eval,validator_burst,8,0,0,24,8,8,0,8,8,1847,[],0,0,0
20260509,weak_fixed,6,longrun_eval,context_budget_burst,8,0,0,24,8,8,0,8,8,1806,[],0,0,0
20260509,weak_fixed,7,longrun_eval,receipt_family_burst,8,0,0,24,8,8,0,8,8,1851,[],0,0,0
20260509,weak_fixed,8,longrun_eval,safe_expression_burst,8,0,0,24,8,8,0,8,8,826,[],0,0,0
20260509,weak_fixed,9,longrun_eval,recovery,8,0,0,24,8,8,0,8,8,910,[],0,0,0
20260509,weak_fixed,10,longrun_eval,schema_drift,8,0,0,24,8,8,0,8,8,907,[],0,0,0
20260509,weak_fixed,11,longrun_eval,validator_burst,8,0,0,24,8,8,0,8,8,1771,[],0,0,0
20260509,weak_fixed,12,longrun_eval,context_budget_burst,8,0,0,24,8,8,0,8,8,1772,[],0,0,0
20260509,weak_fixed,13,longrun_eval,receipt_family_burst,8,0,0,24,8,8,0,8,8,806,[],0,0,0
20260509,weak_fixed,14,longrun_eval,safe_expression_burst,8,0,0,24,8,8,0,8,8,1764,[],0,0,0
20260509,weak_fixed,15,longrun_eval,recovery,8,0,0,24,8,8,0,8,8,910,[],0,0,0
20260509,weak_fixed,16,longrun_eval,schema_drift,8,0,0,24,8,8,0,8,8,906,[],0,0,0
20260509,weak_fixed,17,longrun_eval,validator_burst,8,0,0,24,8,8,0,8,8,830,[],0,0,0
20260509,weak_fixed,18,longrun_eval,context_budget_burst,8,0,0,24,8,8,0,8,8,823,[],0,0,0
20260509,weak_fixed,19,longrun_eval,receipt_family_burst,8,0,0,24,8,8,0,8,8,1809,[],0,0,0
20260509,weak_fixed,20,longrun_eval,safe_expression_burst,8,0,0,24,8,8,0,8,8,810,[],0,0,0
20260510,observe_only,4,longrun_eval,schema_drift,8,4,5000,8,4,0,0,4,8,1533,[],0,0,0
20260510,observe_only,5,longrun_eval,validator_burst,8,6,7500,4,2,0,0,2,8,1622,[],0,0,0
20260510,observe_only,6,longrun_eval,context_budget_burst,8,6,7500,4,2,0,0,2,8,1622,[],0,0,0
20260510,observe_only,7,longrun_eval,receipt_family_burst,8,5,6250,6,3,0,0,3,8,1794,[],0,0,0
20260510,observe_only,8,longrun_eval,safe_expression_burst,8,6,7500,4,2,0,0,2,8,1696,[],0,0,0
20260510,observe_only,9,longrun_eval,recovery,8,5,6250,6,3,0,0,3,8,1615,[],0,0,0
20260510,observe_only,10,longrun_eval,schema_drift,8,6,7500,4,2,0,0,2,8,1667,[],0,0,0
20260510,observe_only,11,longrun_eval,validator_burst,8,6,7500,4,2,0,0,2,8,1623,[],0,0,0
20260510,observe_only,12,longrun_eval,context_budget_burst,8,6,7500,4,2,0,0,2,8,1617,[],0,0,0
20260510,observe_only,13,longrun_eval,receipt_family_burst,8,6,7500,4,2,0,0,2,8,1634,[],0,0,0
20260510,observe_only,14,longrun_eval,safe_expression_burst,8,5,6250,6,3,0,0,3,8,1753,[],0,0,0
20260510,observe_only,15,longrun_eval,recovery,8,4,5000,8,4,0,0,4,8,1535,[],0,0,0
20260510,observe_only,16,longrun_eval,schema_drift,8,4,5000,8,4,0,0,4,8,1973,[],0,0,0
20260510,observe_only,17,longrun_eval,validator_burst,8,6,7500,4,2,0,0,2,8,1533,[],0,0,0
20260510,observe_only,18,longrun_eval,context_budget_burst,8,6,7500,4,2,0,0,2,8,1719,[],0,0,0
20260510,observe_only,19,longrun_eval,receipt_family_burst,8,5,6250,6,3,0,0,3,8,1540,[],0,0,0
