condition,epoch,phase,burst,task_count,closed,validation_failures,parse_failures,retries,unresolved_obligations,operational_debt,attempts,latency_ms,char_budget,active_policy_hashes,active_mutation_ids,seed
baseline_fixed,8,longrun_eval,context_budget_pressure,8,7,1,0,0,1,2,8,209859,1988,[],[],20260510
baseline_fixed,9,longrun_eval,recovery,8,6,2,0,0,2,4,8,261029,1818,[],[],20260510
baseline_fixed,10,longrun_eval,steady,8,6,2,0,0,2,4,8,194829,1863,[],[],20260510
baseline_fixed,11,longrun_eval,steady,8,6,2,0,0,2,4,8,241716,2117,[],[],20260510
baseline_fixed,12,longrun_eval,stale_format_drift,8,4,4,0,0,4,8,8,249741,2385,[],[],20260510
baseline_fixed,13,longrun_eval,recovery,8,3,5,0,0,5,10,8,227749,2304,[],[],20260510
baseline_fixed,14,longrun_eval,steady,8,5,3,0,0,3,6,8,227072,1966,[],[],20260510
baseline_fixed,15,longrun_eval,steady,8,5,3,0,0,3,6,8,212657,2063,[],[],20260510
baseline_fixed,16,longrun_eval,rollback_receipt_gap,8,5,3,0,0,3,6,8,207078,2038,[],[],20260510
baseline_fixed,17,longrun_eval,recovery,8,7,1,0,0,1,2,8,198555,1827,[],[],20260510
baseline_fixed,18,longrun_eval,steady,8,6,2,0,0,2,4,8,195494,1884,[],[],20260510
baseline_fixed,19,longrun_eval,steady,8,6,2,0,0,2,4,8,210257,2024,[],[],20260510
baseline_fixed,20,longrun_eval,steady,8,4,4,0,0,4,8,8,206106,2024,[],[],20260510
oasg_observe_only,1,warmup,warmup_format_drift,8,8,0,0,0,0,0,8,240414,1940,[],[],20260510
oasg_observe_only,2,warmup,warmup_backlog,8,6,2,1,0,2,5,8,315226,1804,[],[],20260510
oasg_observe_only,3,warmup,warmup_rollback_gap,8,6,2,0,0,2,4,8,150511,2079,[],[],20260510
oasg_observe_only,4,longrun_eval,validator_failure_burst,8,5,3,0,0,3,6,8,239581,2108,[],[],20260510
oasg_observe_only,5,longrun_eval,recovery,8,6,2,0,0,2,4,8,227380,2004,[],[],20260510
oasg_observe_only,6,longrun_eval,steady,8,7,1,0,0,1,2,8,179834,1897,[],[],20260510
oasg_observe_only,7,longrun_eval,steady,8,5,3,0,0,3,6,8,181217,2011,[],[],20260510
oasg_observe_only,8,longrun_eval,context_budget_pressure,8,7,1,0,0,1,2,8,210701,1988,[],[],20260510
oasg_observe_only,9,longrun_eval,recovery,8,6,2,0,0,2,4,8,259647,1818,[],[],20260510
oasg_observe_only,10,longrun_eval,steady,8,6,2,0,0,2,4,8,194736,1863,[],[],20260510
oasg_observe_only,11,longrun_eval,steady,8,6,2,0,0,2,4,8,243060,2117,[],[],20260510
oasg_observe_only,12,longrun_eval,stale_format_drift,8,4,4,0,0,4,8,8,251156,2385,[],[],20260510
oasg_observe_only,13,longrun_eval,recovery,8,3,5,0,0,5,10,8,228279,2304,[],[],20260510
oasg_observe_only,14,longrun_eval,steady,8,5,3,0,0,3,6,8,225523,1966,[],[],20260510
oasg_observe_only,15,longrun_eval,steady,8,5,3,0,0,3,6,8,212501,2063,[],[],20260510
oasg_observe_only,16,longrun_eval,rollback_receipt_gap,8,5,3,0,0,3,6,8,208148,2038,[],[],20260510
oasg_observe_only,17,longrun_eval,recovery,8,7,1,0,0,1,2,8,197857,1827,[],[],20260510
oasg_observe_only,18,longrun_eval,steady,8,6,2,0,0,2,4,8,195316,1884,[],[],20260510
oasg_observe_only,19,longrun_eval,steady,8,6,2,0,0,2,4,8,209517,2024,[],[],20260510
oasg_observe_only,20,longrun_eval,steady,8,4,4,0,0,4,8,8,207199,2024,[],[],20260510
oasg_adaptive,1,warmup,warmup_format_drift,8,8,0,0,0,0,0,8,240558,1940,[],[],20260510
oasg_adaptive,2,warmup,warmup_backlog,8,6,2,1,0,2,5,8,315462,1804,['sha256:dbe104083b6663a6cb90f355256274b1e594720c8c505535578da3973d00c9d1'],[],20260510
oasg_adaptive,3,warmup,warmup_rollback_gap,8,6,2,0,0,2,4,8,149755,2079,['sha256:dbe104083b6663a6cb90f355256274b1e594720c8c505535578da3973d00c9d1'],[],20260510
baseline_fixed,1,warmup,warmup_format_drift,8,5,3,0,0,3,6,8,205644,2081,[],[],20260511
baseline_fixed,2,warmup,warmup_backlog,8,6,2,0,0,2,4,8,244374,2053,[],[],20260511
baseline_fixed,3,warmup,warmup_rollback_gap,8,6,2,0,0,2,4,8,231912,2201,[],[],20260511
baseline_fixed,4,longrun_eval,validator_failure_burst,8,7,1,0,0,1,2,8,203722,2046,[],[],20260511
baseline_fixed,5,longrun_eval,recovery,8,5,3,0,0,3,6,8,176236,2032,[],[],20260511
baseline_fixed,6,longrun_eval,steady,8,6,2,0,0,2,4,8,220792,1963,[],[],20260511
baseline_fixed,7,longrun_eval,steady,8,5,3,1,0,3,7,8,213355,1976,[],[],20260511
baseline_fixed,8,longrun_eval,context_budget_pressure,8,8,0,0,0,0,0,8,158745,1946,[],[],20260511
baseline_fixed,9,longrun_eval,recovery,8,4,4,1,0,4,9,8,269498,2027,[],[],20260511
baseline_fixed,10,longrun_eval,steady,8,5,3,0,0,3,6,8,255282,1811,[],[],20260511
baseline_fixed,11,longrun_eval,steady,8,5,3,1,0,3,7,8,240564,1942,[],[],20260511
baseline_fixed,12,longrun_eval,stale_format_drift,8,4,4,0,0,4,8,8,243566,2052,[],[],20260511
baseline_fixed,13,longrun_eval,recovery,8,6,2,0,0,2,4,8,246559,1773,[],[],20260511
baseline_fixed,14,longrun_eval,steady,8,7,1,0,0,1,2,8,133471,2025,[],[],20260511
baseline_fixed,15,longrun_eval,steady,8,4,4,1,0,4,9,8,223613,1913,[],[],20260511
baseline_fixed,16,longrun_eval,rollback_receipt_gap,8,5,3,0,0,3,6,8,150797,1900,[],[],20260511
baseline_fixed,17,longrun_eval,recovery,8,6,2,1,0,2,5,8,302523,1868,[],[],20260511
baseline_fixed,18,longrun_eval,steady,8,5,3,0,0,3,6,8,296265,1906,[],[],20260511
baseline_fixed,19,longrun_eval,steady,8,6,2,0,0,2,4,8,197167,2044,[],[],20260511
baseline_fixed,20,longrun_eval,steady,8,5,3,0,0,3,6,8,296326,1939,[],[],20260511
oasg_observe_only,1,warmup,warmup_format_drift,8,5,3,0,0,3,6,8,208120,2081,[],[],20260511
oasg_observe_only,2,warmup,warmup_backlog,8,6,2,0,0,2,4,8,245327,2053,[],[],20260511
oasg_observe_only,3,warmup,warmup_rollback_gap,8,6,2,0,0,2,4,8,231397,2201,[],[],20260511
