seed,condition,epoch,phase,burst,task_count,closed,closure_rate_bps,operational_debt_auc,cost_to_close_units,validation_failures,parse_failures,retries,unresolved_obligations,attempts,char_budget,latency_ms,active_mutation_ids,active_mutation_epoch_count,hard_floor_regression_count,rollback_failures
20260509,oasg_adaptive_from_strong,4,longrun_eval,schema_drift,8,5,6250,6,16895,3,0,0,3,8,1526,73737,[],0,0,0
20260509,oasg_adaptive_from_strong,5,longrun_eval,validator_burst,8,5,6250,6,16627,3,0,0,3,8,1572,70602,[],0,0,0
20260509,oasg_adaptive_from_strong,6,longrun_eval,context_budget_burst,8,5,6250,6,21990,3,0,0,3,8,1850,121442,[],0,0,0
20260509,oasg_adaptive_from_strong,7,longrun_eval,receipt_family_burst,8,6,7500,4,18239,2,0,0,2,8,1657,85845,[],0,0,0
20260509,oasg_adaptive_from_strong,8,longrun_eval,safe_expression_burst,8,6,7500,4,19477,2,0,0,2,8,1702,97778,[],0,0,0
20260509,oasg_adaptive_from_strong,9,longrun_eval,recovery,8,6,7500,4,16761,2,0,0,2,8,1572,71924,[],0,0,0
20260509,oasg_adaptive_from_strong,10,longrun_eval,schema_drift,8,5,6250,6,16872,3,0,0,3,8,1575,73001,[],0,0,0
20260509,oasg_adaptive_from_strong,11,longrun_eval,validator_burst,8,6,7500,4,18316,2,0,0,2,8,1619,87004,[],0,0,0
20260509,oasg_adaptive_from_strong,12,longrun_eval,context_budget_burst,8,6,7500,4,17382,2,0,0,2,8,1539,78478,[],0,0,0
20260509,oasg_adaptive_from_strong,13,longrun_eval,receipt_family_burst,8,6,7500,4,19750,2,0,0,2,8,1695,100570,[],0,0,0
20260509,oasg_adaptive_from_strong,14,longrun_eval,safe_expression_burst,8,5,6250,6,18162,3,0,0,3,8,1611,85558,[],0,0,0
20260509,oasg_adaptive_from_strong,15,longrun_eval,recovery,8,5,6250,6,21576,3,0,0,3,8,1803,117767,[],0,0,0
20260509,oasg_adaptive_from_strong,16,longrun_eval,schema_drift,8,6,7500,4,16839,2,0,0,2,8,1578,72644,[],0,0,0
20260509,oasg_adaptive_from_strong,17,longrun_eval,validator_burst,8,6,7500,4,18874,2,0,0,2,8,1629,92492,[],0,0,0
20260509,oasg_adaptive_from_strong,18,longrun_eval,context_budget_burst,8,5,6250,6,23420,3,0,0,3,8,1835,135877,[],0,0,0
20260509,oasg_adaptive_from_strong,19,longrun_eval,receipt_family_burst,8,6,7500,4,17977,2,0,0,2,8,1711,82716,[],0,0,0
20260509,oasg_adaptive_from_strong,20,longrun_eval,safe_expression_burst,8,6,7500,4,18413,2,0,0,2,8,1615,88025,[],0,0,0
20260509,strong_positive_control,4,longrun_eval,schema_drift,8,5,6250,6,16803,3,0,0,3,8,1526,72798,[],0,0,0
20260509,strong_positive_control,5,longrun_eval,validator_burst,8,5,6250,6,16597,3,0,0,3,8,1572,70287,[],0,0,0
20260509,strong_positive_control,6,longrun_eval,context_budget_burst,8,5,6250,6,22017,3,0,0,3,8,1850,121708,[],0,0,0
20260509,strong_positive_control,7,longrun_eval,receipt_family_burst,8,6,7500,4,18251,2,0,0,2,8,1657,85959,[],0,0,0
20260509,strong_positive_control,8,longrun_eval,safe_expression_burst,8,6,7500,4,19438,2,0,0,2,8,1702,97380,[],0,0,0
20260509,strong_positive_control,9,longrun_eval,recovery,8,6,7500,4,16830,2,0,0,2,8,1572,72617,[],0,0,0
20260509,strong_positive_control,10,longrun_eval,schema_drift,8,5,6250,6,16907,3,0,0,3,8,1575,73346,[],0,0,0
20260509,strong_positive_control,11,longrun_eval,validator_burst,8,6,7500,4,18371,2,0,0,2,8,1619,87551,[],0,0,0
20260509,strong_positive_control,12,longrun_eval,context_budget_burst,8,6,7500,4,17346,2,0,0,2,8,1539,78106,[],0,0,0
20260509,strong_positive_control,13,longrun_eval,receipt_family_burst,8,6,7500,4,19728,2,0,0,2,8,1695,100380,[],0,0,0
20260509,strong_positive_control,14,longrun_eval,safe_expression_burst,8,5,6250,6,18177,3,0,0,3,8,1611,85713,[],0,0,0
20260509,strong_positive_control,15,longrun_eval,recovery,8,5,6250,6,21665,3,0,0,3,8,1803,118657,[],0,0,0
20260509,strong_positive_control,16,longrun_eval,schema_drift,8,6,7500,4,16831,2,0,0,2,8,1578,72554,[],0,0,0
20260509,strong_positive_control,17,longrun_eval,validator_burst,8,6,7500,4,18861,2,0,0,2,8,1629,92359,[],0,0,0
20260509,strong_positive_control,18,longrun_eval,context_budget_burst,8,5,6250,6,23362,3,0,0,3,8,1835,135306,[],0,0,0
