seed,condition,phase_id,epoch,task_count,closed,closure_rate_bps,operational_debt_auc,cost_to_close_units,validation_failures,parse_failures,retries,unresolved_obligations,attempts,char_budget,latency_ms,active_mutation_ids,active_mutation_count,active_mutation_epoch_count,hard_floor_regression_count,rollback_failures,evidence_gap,rollback_gap
20260510,oasg_adaptive_from_strong,phase_d_mixed_reversion,7,4,4,10000,0,12051,0,0,0,0,4,1057,69948,"['mut_context_shortening_policy_code_transform_phase_d_mixed_reversion', 'mut_family_safe_expr_prompt_safe_python_expression_phase_d_mixed_reversion', 'mut_schema_keys_only_obligation_closure_phase_d_mixed_reversion']",3,1,0,0,0,0
20260510,oasg_adaptive_from_strong,phase_d_mixed_reversion,8,4,4,10000,0,10159,0,0,0,0,4,1061,50995,"['mut_context_shortening_policy_code_transform_phase_d_mixed_reversion', 'mut_schema_keys_only_obligation_closure_phase_d_mixed_reversion']",2,1,0,0,0,0
20260510,oasg_observe_only_from_strong,phase_b_mild_drift,3,4,1,2500,13,14689,3,1,0,3,4,1169,95222,[],0,0,0,0,3,0
20260510,oasg_observe_only_from_strong,phase_b_mild_drift,4,4,1,2500,12,13798,2,2,0,3,4,820,89794,[],0,0,0,0,2,0
20260510,oasg_observe_only_from_strong,phase_c_structural_drift,5,4,2,5000,8,16088,2,0,0,2,4,1549,105406,[],0,0,0,0,2,0
20260510,oasg_observe_only_from_strong,phase_c_structural_drift,6,4,2,5000,8,16323,2,0,0,2,4,1612,107127,[],0,0,0,0,2,0
20260510,oasg_observe_only_from_strong,phase_d_mixed_reversion,7,4,2,5000,8,11396,2,0,0,2,4,1012,63859,[],0,0,0,0,2,0
20260510,oasg_observe_only_from_strong,phase_d_mixed_reversion,8,4,2,5000,8,11505,2,0,0,2,4,1099,64087,[],0,0,0,0,2,0
20260510,rule_adaptive_control,phase_b_mild_drift,3,4,1,2500,13,12134,3,1,0,3,4,1089,70475,[],0,0,0,0,3,0
20260510,rule_adaptive_control,phase_b_mild_drift,4,4,1,2500,11,13065,2,1,0,3,4,1112,79554,[],0,0,0,0,2,0
20260510,rule_adaptive_control,phase_c_structural_drift,5,4,1,2500,12,15432,3,0,0,3,4,1560,98729,[],0,0,0,0,3,0
20260510,rule_adaptive_control,phase_c_structural_drift,6,4,1,2500,13,19011,3,1,0,3,4,1242,137705,[],0,0,0,0,3,0
20260510,rule_adaptive_control,phase_d_mixed_reversion,7,4,3,7500,4,15555,1,0,0,1,4,1096,104602,[],0,0,0,0,1,0
20260510,rule_adaptive_control,phase_d_mixed_reversion,8,4,3,7500,4,14227,1,0,0,1,4,1100,91287,[],0,0,0,0,1,0
20260510,strong_static_calibrated,phase_b_mild_drift,3,4,1,2500,13,14075,3,1,0,3,4,1169,89077,[],0,0,0,0,3,0
20260510,strong_static_calibrated,phase_b_mild_drift,4,4,1,2500,11,13318,2,1,0,3,4,1041,82800,[],0,0,0,0,2,0
20260510,strong_static_calibrated,phase_c_structural_drift,5,4,2,5000,8,15694,2,0,0,2,4,1549,101468,[],0,0,0,0,2,0
20260510,strong_static_calibrated,phase_c_structural_drift,6,4,2,5000,8,14705,2,0,0,2,4,1612,90957,[],0,0,0,0,2,0
20260510,strong_static_calibrated,phase_d_mixed_reversion,7,4,2,5000,8,9725,2,0,0,2,4,1012,47145,[],0,0,0,0,2,0
20260510,strong_static_calibrated,phase_d_mixed_reversion,8,4,2,5000,8,11613,2,0,0,2,4,1099,65162,[],0,0,0,0,2,0
