seed,condition,task_count,closed,closure_rate_bps,operational_debt_auc,cost_to_close_units,validation_failures,parse_failures,retries,unresolved_obligations,attempts,char_budget,latency_ms,active_mutation_ids,active_mutation_count,active_mutation_epoch_count,hard_floor_regression_count,rollback_failures,evidence_gap,rollback_gap
20260509,strong_static_calibrated,24,10,4167,56,69387,12,4,0,14,24,7124,382727,[],0,0,0,0,12,0
20260509,oasg_observe_only_from_strong,24,10,4167,56,73286,12,4,0,14,24,7124,421720,[],0,0,0,0,12,0
20260509,rule_adaptive_control,24,10,4167,57,73884,13,3,0,14,24,6887,430076,[],0,0,0,0,13,0
20260509,oasg_adaptive_from_strong,24,13,5417,43,62470,9,3,0,11,24,6719,317653,"['mut_context_shortening_policy_code_transform_phase_b_mild_drift', 'mut_context_shortening_policy_code_transform_phase_c_structural_drift', 'mut_family_safe_expr_prompt_safe_python_expression_phase_c_structural_drift', 'mut_family_safe_expr_prompt_safe_python_expression_phase_d_mixed_reversion', 'mut_schema_keys_only_json_schema_repair_phase_d_mixed_reversion', 'mut_schema_keys_only_obligation_closure_phase_b_mild_drift', 'mut_schema_keys_only_obligation_closure_phase_c_structural_drift', 'mut_schema_keys_only_obligation_closure_phase_d_mixed_reversion', 'mut_strict_json_minimal_code_transform_phase_d_mixed_reversion']",9,5,0,0,9,0
20260510,strong_static_calibrated,24,10,4167,56,79130,13,2,0,14,24,7482,476609,[],0,0,0,0,13,0
20260510,oasg_observe_only_from_strong,24,10,4167,57,83799,13,3,0,14,24,7261,525495,[],0,0,0,0,13,0
20260510,rule_adaptive_control,24,10,4167,57,89424,13,3,0,14,24,7199,582352,[],0,0,0,0,13,0
20260510,oasg_adaptive_from_strong,24,14,5833,41,74589,9,3,0,10,24,6565,440360,"['mut_context_shortening_policy_code_transform_phase_c_structural_drift', 'mut_context_shortening_policy_code_transform_phase_d_mixed_reversion', 'mut_family_safe_expr_prompt_safe_python_expression_phase_b_mild_drift', 'mut_family_safe_expr_prompt_safe_python_expression_phase_d_mixed_reversion', 'mut_schema_keys_only_obligation_closure_phase_b_mild_drift', 'mut_schema_keys_only_obligation_closure_phase_c_structural_drift', 'mut_schema_keys_only_obligation_closure_phase_d_mixed_reversion', 'mut_strict_json_minimal_code_transform_phase_c_structural_drift']",8,5,0,0,9,0
